Unnamed: 0,Dilshad Garden,Jhilmil,Mansrover park,Shahdara,Welcome,Seelam Pur,Shastri Park,Kashmere Gate,Tis Hazari,Pul Bangash,Pratap Nagar,Shastri Nagar,Inder Lok,Kanhaiya Nagar,Keshav Puram,Netaji Subash Place,Kohat Enclave,Pitam Pura,RohiniEast,Rohini West,Rithala,Samaypur Badli,Rohini Sector - 18,Haiderpur,Jahangirpuri,Adarsh Nagar,Azadpur,Model Town,GTB Nagar,Vishwavidyalaya,Vidhan Sabha,Civil Lines,Chandhni Chowk,Chawri Bazar,New Delhi,Rajiv Chowk,Patel Chowk,Central Secretariat,Udyog Bhawan,Race Course,Jorbagh,INA,AIIMS,Green Park,Hauz Khas,Malviya Nagar,Saket,Qutab Minar,Chhattarpur,Sultanpur,Ghitorni,Arjan Garh,Gurudronacharya,Sikandarpur,MG Road,IFFCO Chowk,Huda City Centre,Noida City Centre,Golf Course,Botanical Garden,Noida Sect 18,Noida Sect 16,Noida Sect 15,New Ashok Nagar,Mayur Vihar Ext,Mayur Vihar-I,Akshardham,Indraprastha,Pragati Maidan,Mandi House,Barakhamba,RK Ashram Marg,Jhandewalan,Karol Bagh,Rajendra Place,Patel Nagar,Shadi Pur,Kirti Nagar,Moti Nagar,Ramesh Nagar,Rajouri Garden,Tagore Garden,Subash Nagar,Tilak Nagar,Janak Puri East,Janak Puri West,Uttam Nagar East,Uttam Nagar West,Nawada,Dwaraka Mor,Dwarka,Dwarka Sector - 14,Dwarka Sector - 13,Dwarka Sector - 12,Dwarka Sector - 11,Dwarka Sector - 10,Dwarka Sector - 9,Dwarka Sector - 8,Dwarka Sector - 21,Vaishali,Kaushambi,Anand Vihar,Karkar Duma,Preet Vihar,Nirman Vihar,Laxmi Nagar,Yamuna Bank,ITO,Janpath,Khan Market,JLN,Jangpura,Lajpat Nagar,Moolchand,Kailash Colony,Nehru Place,Kalkaji Mandir,Govindpuri,Okhla,Jasola-Apollo,Sarita Vihar,Mohan Estate,Tuglakabad,Badarpur,Sarai,NHPC Chowk,Mewala Maharajpur,Sector-28,Badkal Mor,Old Faridabad,Neelam Chowk Ajronda,Bata Chowk,Escorts Mujesar,Mundka,Rajdhani Park,Nangloai Rly. Station,Nangloai,Surajmal Stadium,Udyog Nagar,Peera Garhi,Paschim Vihar (West),Paschim Vihar (East),Madi Pur,Shivaji Park,Punjabi Bagh,Ashok Park Main,Satguru Ram Singh Marg,Lal Quila,Jama Masjid,Delhi Gate,Okhla Bird Sanctuary,Kalindi Kunj,Jasola Vihar,Okhla Vihar,Jamia Milia Islamiya,Sukhdev Vihar,NSIC Okhla,Majlis Park,Shalimar Bagh,Shakurpur,Punjabi Bagh West,ESI Hospital,Mayapuri,Naraina Vihar,Delhi Cantt.,Nehru Enclave,Greater Kailash,Chirag Delhi,Panchsheel Park,I.I.T,R.K. Puram,Munirka,Vasant Vihar,Shankar Vihar,IGD Airport,Sadar Bazar,Palam,Dashrathpuri,Dabri Mor,Mundka Industrial Area,Ghevra Metro Station,Tikri Kalan,Tikri Border,Modern Industrial Estate,Bus Stand,City Park,Durgabai Deshmukh South Campus,Sir Vishweshwaraiah Moti Bagh,Bhikaji Cama Place,Sarojini Nagar,South Extension,Trilokpuri Sanjay Lake,Vinod Nagar East,Vinod Nagar,I.P. Extension,Karkarduma Court,Krishna Nagar,East Azad Nagar,Jafrabad,Maujpur,Gokulpuri,Johri Enclave,Shiv Vihar,Shahid Nagar,Raj Bagh,Rajendra Nagar,Shyam Park,Mohan Nagar,Arthala,Hindon River,New Bus Adda,Sant Surdas,Raja Nahar Singh,Vinobapuri,Ashram,Hazrat Nizamuddin,Mayur Vihar Pkt-1,Sector-34 Noida,Sector-52 Noida,Sector-61 Noida,Sector-59 Noida,Sector-62 Noida,Noida Electronic City,Nangli,Najafgarh,Dhansa Bus Stand,Krishna Park Ext
Sikandarpur,38.84,37.958,36.831,35.705,34.515,33.425,31.755,29.415,30.575,31.535,32.375,34.115,35.325,36.455,37.225,38.685,39.975,40.955,41.765,43.065,44.105,43.067,42.21,40.4,39.174,37.879,36.416,35.039,33.745,32.845,31.605,30.505,28.225,27.045,26.395,25.145,23.905,23.095,22.465,21.105,19.785,18.525,17.705,16.725,15.065,13.295,12.305,10.415,9.07,7.471,6.129,3.404,0.913,0,1.299,2.697,4.188,34.964,33.675,32.238,33.336,34.522,34.004,32.845,31.807,30.597,31.385,28.064,27.234,26.324,25.745,26.385,27.445,28.595,29.655,30.585,31.865,32.765,33.705,33.787,32.837,33.987,34.847,35.777,35.035,34.115,35.475,36.465,37.525,38.685,40.025,41.555,42.485,43.375,44.445,45.435,46.525,47.516,49.28,38.085,36.461,35.6,34.542,33.27,32.266,31.149,29.856,27.295,24.423,25.512,24.105,23.216,21.7,22.471,22.434,21.343,20.505,21.274,22.692,23.833,24.998,26.186,28.206,29.386,30.553,32.836,33.86,35,36.718,38.052,39.507,40.81,42.573,46.568,45.257,44.056,43.215,42.316,41.635,40.475,39.532,38.529,37.81,36.735,36.377,35.812,33.816,30.596,29.709,28.406,30.205,28.627,26.612,24.807,23.846,22.644,21.483,38.646,38.097,37.624,35.784,33.748,31.194,29.563,27.716,19.815,18.467,17.641,16.73,16.134,17.072,18.407,19.914,21.986,24.245,26.273,29.398,30.895,32.529,47.87,49.948,51.798,53.098,54.342,55.911,57.681,23.932,22.588,20.934,19.581,19.872,32.939,33.954,34.86,36.211,35.867,36.673,35.81,36.333,37.475,38.785,40.081,41.026,40.065,41.333,42.463,43.663,44.983,45.776,47.266,48.207,44.287,45.94,22.957,24.147,26.232,31.416,35.895,37.032,38.436,39.404,40.558,41.819,41.67,44.036,45.004,36.451
Noida City Centre,26.097,25.215,24.088,22.962,21.772,22.862,24.473,22.133,23.293,24.253,25.093,26.833,28.043,29.173,29.943,31.403,32.693,33.673,34.483,35.783,36.823,35.785,34.928,33.118,31.892,30.597,29.134,27.757,26.463,25.563,24.323,23.223,21.023,19.843,19.193,17.943,19.183,19.502,20.132,21.492,22.705,21.445,22.265,21.559,19.899,21.669,22.659,24.549,25.894,27.493,28.835,31.56,34.051,34.964,36.263,37.661,39.152,0,1.289,2.726,3.824,5.01,5.966,7.125,8.163,9.373,11.212,14.533,15.363,16.273,17.343,19.183,20.243,21.393,22.453,23.383,24.663,25.563,26.503,27.693,28.643,29.793,30.653,31.583,32.623,33.543,34.903,35.893,36.953,38.113,39.453,40.983,41.913,42.803,43.873,44.863,45.953,46.944,48.708,19.602,17.978,17.117,17.427,16.155,15.151,14.034,12.741,17.244,18.174,21.919,20.675,19.786,18.27,17.694,16.388,15.297,14.459,15.228,16.646,17.787,18.952,20.14,22.16,23.34,24.507,26.79,27.814,28.954,30.672,32.006,33.461,34.764,36.527,40.887,39.576,38.375,37.534,36.635,35.954,34.794,33.851,32.848,32.129,31.054,29.51,28.61,26.614,20.545,19.658,18.355,4.759,6.337,8.352,10.157,11.118,12.32,13.481,31.364,30.815,31.943,30.103,29.554,30.286,31.917,30.636,15.149,16.497,17.323,18.234,20.968,21.906,23.241,24.748,26.82,29.079,31.107,34.232,35.729,35.129,42.189,44.267,46.117,47.417,48.661,50.23,52,26.852,25.508,23.854,22.501,20.098,11.715,12.73,13.636,14.987,18.752,19.558,20.477,23.59,24.732,26.042,27.338,28.283,27.322,28.59,29.72,30.92,32.24,33.033,34.523,35.464,38.241,39.894,17.013,15.823,13.738,10.192,0.931,2.068,3.472,4.44,5.594,6.855,41.098,43.464,44.432,35.879
Botanical Garden,23.371,22.489,21.362,20.236,19.046,20.136,21.747,19.407,20.567,21.527,22.367,24.107,25.317,26.447,27.217,28.677,29.967,30.947,31.757,33.057,34.097,33.059,32.202,30.392,29.166,27.871,26.408,25.031,23.737,22.837,21.597,20.497,18.297,17.117,16.467,15.217,16.457,16.776,17.406,18.766,19.979,18.719,19.539,18.833,17.173,18.943,19.933,21.823,23.168,24.767,26.109,28.834,31.325,32.238,33.537,34.935,36.426,2.726,1.437,0,1.098,2.284,3.24,4.399,5.437,6.647,8.486,11.807,12.637,13.547,14.617,16.457,17.517,18.667,19.727,20.657,21.937,22.837,23.777,24.967,25.917,27.067,27.927,28.857,29.897,30.817,32.177,33.167,34.227,35.387,36.727,38.257,39.187,40.077,41.147,42.137,43.227,44.218,45.982,16.876,15.252,14.391,14.701,13.429,12.425,11.308,10.015,14.518,15.448,19.193,17.949,17.06,15.544,14.968,13.662,12.571,11.733,12.502,13.92,15.061,16.226,17.414,19.434,20.614,21.781,24.064,25.088,26.228,27.946,29.28,30.735,32.038,33.801,38.161,36.85,35.649,34.808,33.909,33.228,32.068,31.125,30.122,29.403,28.328,26.784,25.884,23.888,17.819,16.932,15.629,2.033,3.611,5.626,7.431,8.392,9.594,10.755,28.638,28.089,29.217,27.377,26.828,27.56,29.191,27.91,12.423,13.771,14.597,15.508,18.242,19.18,20.515,22.022,24.094,26.353,28.381,31.506,33.003,32.403,39.463,41.541,43.391,44.691,45.935,47.504,49.274,24.126,22.782,21.128,19.775,17.372,8.989,10.004,10.91,12.261,16.026,16.832,17.751,20.864,22.006,23.316,24.612,25.557,24.596,25.864,26.994,28.194,29.514,30.307,31.797,32.738,35.515,37.168,14.287,13.097,11.012,7.466,3.657,4.794,6.198,7.166,8.32,9.581,38.372,40.738,41.706,33.153
Vishwavidyalaya,12.855,11.973,10.846,9.72,8.53,7.44,5.77,3.43,4.59,5.55,6.39,8.13,9.34,9.035,8.265,6.805,8.095,9.075,9.885,11.185,12.225,10.222,9.365,7.555,6.329,5.034,3.571,2.194,0.9,0,1.24,2.34,4.62,5.8,6.45,7.7,8.94,9.75,10.38,11.74,13.06,14.32,15.14,16.12,17.78,19.55,20.54,22.43,23.775,25.374,26.716,29.441,31.932,32.845,34.144,35.542,37.033,25.563,24.274,22.837,21.739,20.553,19.597,18.438,17.4,16.19,14.351,11.03,10.2,9.29,8.3,8.94,10,11.15,12.21,13.14,14.42,13.909,14.849,13.665,12.715,13.865,14.725,15.655,16.695,17.615,18.975,19.965,21.025,22.185,23.525,25.055,25.985,26.875,27.945,28.935,30.025,31.016,32.78,16.418,14.794,13.933,12.875,14.147,15.151,14.115,12.822,8.319,11.078,12.167,13.82,14.709,16.225,16.996,18.302,19.393,20.231,21,22.418,23.559,24.724,25.912,27.932,29.112,30.279,32.562,33.586,34.726,36.444,37.778,39.233,40.536,42.299,20.552,19.241,18.04,17.199,16.3,15.619,14.459,13.516,12.513,11.794,10.719,10.361,10.862,12.858,5.018,5.905,7.208,24.87,26.448,26.338,24.533,23.572,22.37,21.209,5.801,5.252,7.928,9.768,11.804,14.358,15.989,17.836,20.921,21.182,20.356,19.445,18.849,19.787,21.122,22.629,24.701,26.96,25.457,22.332,20.835,19.201,21.854,23.932,25.782,27.082,28.326,29.895,31.665,19.727,18.383,16.729,15.376,15.667,18.532,18.32,17.414,16.063,11.55,10.744,9.825,10.348,11.49,12.8,14.096,15.041,14.08,15.348,16.478,17.678,18.998,19.791,21.281,22.222,44.013,45.666,17.482,18.672,20.555,17.009,26.494,27.631,29.035,30.003,31.157,32.418,25.17,27.536,28.504,19.951
Janak Puri West,26.197,25.315,24.188,23.062,21.872,20.782,19.112,16.772,15.612,14.652,13.812,12.072,10.862,11.992,12.27,10.81,12.1,13.08,13.89,15.19,16.23,20.695,19.838,18.028,16.802,15.507,14.044,15.421,16.715,17.615,18.855,17.862,17.962,17.5,16.85,15.6,16.84,17.65,18.28,19.64,20.472,19.212,20.032,20.71,19.05,20.82,21.81,23.7,25.045,26.644,27.986,30.711,33.202,34.115,35.414,36.812,38.303,33.543,32.254,30.817,29.719,28.533,27.577,26.418,25.38,24.17,22.331,19.01,18.18,17.27,16.2,14.36,13.3,12.15,11.09,10.16,8.88,7.98,7.04,5.85,4.9,3.75,2.89,1.96,0.92,0,1.36,2.35,3.41,4.57,5.91,7.44,8.37,9.26,10.33,11.32,12.41,13.401,15.165,29.031,27.407,26.546,25.488,24.216,23.212,22.095,20.802,18.241,18.978,20.067,21.72,22.609,22.387,23.158,24.464,25.328,24.49,25.259,26.677,27.818,28.983,30.171,32.191,33.371,34.538,36.821,37.845,38.985,40.703,42.037,43.492,44.795,46.558,18.631,17.32,16.119,15.278,14.379,13.698,12.538,11.595,10.592,9.873,8.798,8.44,9.34,9.031,18.36,19.247,19.352,32.85,32.612,30.597,28.792,27.831,26.629,25.468,16.274,12.363,9.687,7.847,5.811,6.543,8.174,10.021,23.8,22.452,21.626,20.715,17.981,17.043,15.708,14.201,12.129,9.87,7.842,4.717,3.22,1.586,19.933,22.011,23.861,25.161,26.405,27.974,29.744,13.805,15.149,16.803,18.156,20.559,26.512,27.527,28.433,28.676,24.892,24.086,23.167,23.69,24.832,26.142,27.438,28.383,27.422,28.69,29.82,31.02,32.34,33.133,34.623,35.564,48.272,49.925,23.644,24.834,26.919,24.989,34.474,35.611,37.015,37.983,39.137,40.398,7.555,9.921,10.889,2.336
Anand Vihar,9.728,8.846,7.719,6.593,5.403,6.493,8.163,10.503,11.663,12.623,13.463,15.203,16.413,17.543,18.313,19.773,21.063,22.043,22.853,24.153,25.193,24.155,23.298,21.488,20.262,18.967,17.504,16.127,14.833,13.933,12.693,11.593,11.693,12.846,12.196,10.946,12.186,12.505,13.135,14.495,15.815,17.075,17.895,18.875,20.535,22.305,23.295,25.185,26.53,28.129,29.471,32.196,34.687,35.6,36.899,38.297,39.788,17.117,15.828,14.391,13.293,12.107,11.151,9.992,8.954,7.744,7.273,7.536,8.366,9.276,10.346,12.186,13.246,14.396,15.456,16.386,17.666,18.566,19.506,20.696,21.646,22.796,23.656,24.586,25.626,26.546,27.906,28.896,29.956,31.116,32.456,33.986,34.916,35.806,36.876,37.866,38.956,39.947,41.711,2.485,0.861,0,1.058,2.33,3.334,4.451,5.744,10.247,11.177,14.922,16.575,17.464,16.641,17.412,18.718,19.809,20.647,21.416,22.834,23.975,25.14,26.328,28.348,29.528,30.695,32.978,34.002,35.142,36.86,38.194,39.649,40.952,42.715,30.212,28.901,27.7,26.859,25.96,25.279,24.119,23.176,22.173,21.454,20.379,18.835,17.935,19.617,12.091,12.661,11.358,16.424,18.002,20.017,21.822,22.783,22.786,21.625,19.734,19.185,20.896,19.428,21.464,23.289,24.92,26.266,21.337,22.685,23.111,22.2,21.604,22.542,23.877,25.384,27.456,29.715,31.743,31.263,29.766,28.132,31.514,33.592,35.442,36.742,37.986,39.555,41.325,22.482,21.138,19.484,18.131,18.422,5.402,4.387,3.481,2.13,2.383,3.189,4.108,7.221,8.363,9.673,10.969,11.914,10.953,12.221,13.351,14.551,15.871,16.664,18.154,19.095,44.429,46.082,15.384,14.194,12.109,6.925,18.048,19.185,20.589,21.557,22.711,23.972,34.101,36.467,37.435,28.882
Nehru Place,25.388,24.506,23.379,22.253,21.063,19.973,18.303,15.963,17.123,18.083,18.923,20.663,21.873,23.003,23.773,25.233,26.523,27.503,28.313,29.613,30.653,29.615,28.758,26.948,25.722,24.427,22.964,21.587,20.293,19.393,18.153,17.053,14.773,13.593,12.943,11.693,10.453,9.643,10.273,8.923,7.603,6.343,7.163,7.938,6.278,8.048,9.038,10.928,12.273,13.872,15.214,17.939,20.43,21.343,22.642,24.04,25.531,15.297,14.008,12.571,13.669,14.855,15.472,14.313,13.275,12.065,13.904,14.612,13.782,12.872,12.293,12.933,13.993,15.143,16.203,17.133,18.413,19.313,20.253,21.443,20.655,21.805,22.665,23.595,24.635,25.328,26.688,27.678,28.738,29.898,31.238,32.768,33.698,34.588,35.658,36.648,37.738,38.729,40.493,22.294,20.67,19.809,20.119,18.847,17.843,16.726,15.433,13.843,10.971,7.226,5.573,4.684,3.168,2.397,1.091,0,0.838,1.607,3.025,4.166,5.331,6.519,8.539,9.719,10.886,13.169,14.193,15.333,17.051,18.385,19.84,21.143,22.906,34.386,33.075,31.874,31.033,30.134,29.453,28.293,27.35,26.347,25.628,24.553,23.26,22.36,20.364,17.144,16.257,14.954,10.538,8.96,6.945,5.14,4.179,2.977,1.816,25.194,24.645,25.442,23.602,21.566,19.012,17.381,15.534,1.528,2.876,3.702,4.613,7.347,8.285,9.62,11.127,13.199,15.458,17.486,20.611,22.108,23.742,35.688,37.766,39.616,40.916,42.16,43.729,45.499,11.75,10.406,8.752,7.399,4.996,14.407,15.422,16.328,17.679,21.444,22.25,22.358,22.881,24.023,25.333,26.629,27.574,26.613,27.881,29.011,30.211,31.531,32.324,33.814,34.755,24.62,26.273,4.425,5.615,7.7,12.884,16.228,17.365,18.769,19.737,20.891,22.152,32.883,35.249,36.217,27.664
Dwarka Sector - 21,41.362,40.48,39.353,38.227,37.037,35.947,34.277,31.937,30.777,29.817,28.977,27.237,26.027,27.157,27.435,25.975,27.265,28.245,29.055,30.355,31.395,35.86,35.003,33.193,31.967,30.672,29.209,30.586,31.88,32.78,34.02,33.027,33.127,32.665,32.015,30.765,32.005,32.815,33.445,34.805,35.637,34.377,35.197,35.875,34.215,35.985,36.975,38.865,40.21,41.809,43.151,45.876,48.367,49.28,50.579,51.977,53.468,48.708,47.419,45.982,44.884,43.698,42.742,41.583,40.545,39.335,37.496,34.175,33.345,32.435,31.365,29.525,28.465,27.315,26.255,25.325,24.045,23.145,22.205,21.015,20.065,18.915,18.055,17.125,16.085,15.165,13.805,12.815,11.755,10.595,9.255,7.725,6.795,5.905,4.835,3.845,2.755,1.764,0,44.196,42.572,41.711,40.653,39.381,38.377,37.26,35.967,33.406,34.143,35.232,36.885,37.774,37.552,38.323,39.629,40.493,39.655,40.424,41.842,42.983,44.148,45.336,47.356,48.536,49.703,51.986,53.01,54.15,55.868,57.202,58.657,59.96,61.723,33.796,32.485,31.284,30.443,29.544,28.863,27.703,26.76,25.757,25.038,23.963,23.605,24.505,24.196,33.525,34.412,34.517,48.015,47.777,45.762,43.957,42.996,41.794,40.633,31.439,27.528,24.852,23.012,20.976,21.708,23.339,25.186,38.965,37.617,36.791,35.88,33.146,32.208,30.873,29.366,27.294,25.035,23.007,19.882,18.385,16.751,35.098,37.176,39.026,40.326,41.57,43.139,44.909,28.97,30.314,31.968,33.321,35.724,41.677,42.692,43.598,43.841,40.057,39.251,38.332,38.855,39.997,41.307,42.603,43.548,42.587,43.855,44.985,46.185,47.505,48.298,49.788,50.729,63.437,65.09,38.809,39.999,42.084,40.154,49.639,50.776,52.18,53.148,54.302,55.563,10.9,13.266,14.234,17.501
Mandi House,15.285,14.403,13.276,12.15,10.96,9.87,8.2,5.86,7.02,7.98,8.82,10.56,11.77,12.9,13.67,15.13,16.42,17.4,18.21,19.51,20.55,19.512,18.655,16.845,15.619,14.324,12.861,11.484,10.19,9.29,8.05,6.95,4.75,3.57,2.92,1.67,2.91,3.229,3.859,5.219,6.539,7.799,8.619,9.599,11.259,13.029,14.019,15.909,17.254,18.853,20.195,22.92,25.411,26.324,27.623,29.021,30.512,16.273,14.984,13.547,12.449,11.263,10.307,9.148,8.11,6.9,5.061,1.74,0.91,0,1.07,2.91,3.97,5.12,6.18,7.11,8.39,9.29,10.23,11.42,12.37,13.52,14.38,15.31,16.35,17.27,18.63,19.62,20.68,21.84,23.18,24.71,25.64,26.53,27.6,28.59,29.68,30.671,32.435,11.761,10.137,9.276,8.218,6.946,5.942,4.825,3.532,0.971,1.901,5.646,7.299,8.188,9.704,10.475,11.781,12.872,13.71,14.479,15.897,17.038,18.203,19.391,21.411,22.591,23.758,26.041,27.065,28.205,29.923,31.257,32.712,34.015,35.778,24.614,23.303,22.102,21.261,20.362,19.681,18.521,17.578,16.575,15.856,14.781,13.237,12.337,10.341,4.272,3.385,2.082,15.58,17.158,19.173,18.012,17.051,15.849,14.688,15.091,14.542,15.67,13.83,13.281,14.013,15.644,16.99,14.4,14.661,13.835,12.924,12.328,13.266,14.601,16.108,18.18,20.439,22.467,21.987,20.49,18.856,25.916,27.994,29.844,31.144,32.388,33.957,35.727,13.206,11.862,10.208,8.855,9.146,9.242,10.257,11.163,11.406,9.543,10.349,11.268,12.778,13.92,15.23,16.526,17.471,16.51,17.778,18.908,20.108,21.428,22.221,23.711,24.652,37.492,39.145,10.961,12.151,11.265,7.719,17.204,18.341,19.745,20.713,21.867,23.128,24.825,27.191,28.159,19.606
Central Secretariat,15.745,14.863,13.736,12.61,11.42,10.33,8.66,6.32,7.48,8.44,9.28,11.02,12.23,13.36,14.13,15.59,16.88,17.86,18.67,19.97,21.01,19.972,19.115,17.305,16.079,14.784,13.321,11.944,10.65,9.75,8.51,7.41,5.13,3.95,3.3,2.05,0.81,0,0.63,1.99,3.31,4.57,5.39,6.37,8.03,9.8,10.79,12.68,14.025,15.624,16.966,19.691,22.182,23.095,24.394,25.792,27.283,19.502,18.213,16.776,15.678,14.492,13.536,12.377,11.339,10.129,8.29,4.969,4.139,3.229,2.65,3.29,4.35,5.5,6.56,7.49,8.77,9.67,10.61,11.8,12.75,13.9,14.76,15.69,16.73,17.65,19.01,20,21.06,22.22,23.56,25.09,26.02,26.91,27.98,28.97,30.06,31.051,32.815,14.99,13.366,12.505,11.447,10.175,9.171,8.054,6.761,4.2,1.328,2.417,4.07,4.959,6.475,7.246,8.552,9.643,10.481,11.25,12.668,13.809,14.974,16.162,18.182,19.362,20.529,22.812,23.836,24.976,26.694,28.028,29.483,30.786,32.549,24.994,23.683,22.482,21.641,20.742,20.061,18.901,17.958,16.955,16.236,15.161,13.617,12.717,10.721,7.501,6.614,5.311,18.809,18.603,16.588,14.783,13.822,12.62,11.459,15.551,15.002,16.05,14.21,13.661,14.393,15.608,13.761,11.171,11.432,10.606,9.695,9.099,10.037,11.372,12.879,14.951,17.21,19.238,22.363,20.87,19.236,26.296,28.374,30.224,31.524,32.768,34.337,36.107,9.977,8.633,6.979,5.626,5.917,12.471,13.486,14.392,14.635,12.772,13.578,12.715,13.238,14.38,15.69,16.986,17.931,16.97,18.238,19.368,20.568,21.888,22.681,24.171,25.112,34.263,35.916,7.732,8.922,11.007,10.948,20.433,21.57,22.974,23.942,25.096,26.357,25.205,27.571,28.539,19.986
Pul Bangash,11.545,10.663,9.536,8.41,7.22,6.13,4.46,2.12,0.96,0,0.84,2.58,3.79,4.92,5.69,7.15,8.44,9.42,10.23,11.53,12.57,15.772,14.915,13.105,11.879,10.584,9.121,7.744,6.45,5.55,4.31,3.21,3.31,4.49,5.14,6.39,7.63,8.44,9.07,10.43,11.75,13.01,13.83,14.81,16.47,18.24,19.23,21.12,22.465,24.064,25.406,28.131,30.622,31.535,32.834,34.232,35.723,24.253,22.964,21.527,20.429,19.243,18.287,17.128,16.09,14.88,13.041,9.72,8.89,7.98,6.99,7.63,8.69,9.84,10.9,10.539,9.259,8.359,9.299,10.489,9.752,10.902,11.762,12.692,13.732,14.652,16.012,17.002,18.062,19.222,20.562,22.092,23.022,23.912,24.982,25.972,27.062,28.053,29.817,15.108,13.484,12.623,11.565,12.837,13.841,12.805,11.512,7.009,9.768,10.857,12.51,13.399,14.915,15.686,16.992,18.083,18.921,19.69,21.108,22.249,23.414,24.602,26.622,27.802,28.969,31.252,32.276,33.416,35.134,36.468,37.923,39.226,40.989,17.589,16.278,15.077,14.236,13.337,12.656,11.496,10.553,9.55,8.831,7.756,6.212,5.312,7.308,3.708,4.595,5.898,23.56,25.138,25.028,23.223,22.262,21.06,19.899,11.351,8.703,8.273,6.805,8.841,11.395,13.026,14.873,19.611,19.872,19.046,18.135,17.539,18.477,19.812,21.319,23.391,24.522,22.494,19.369,17.872,16.238,18.891,20.969,22.819,24.119,25.363,26.932,28.702,18.417,17.073,15.419,14.066,14.357,17.222,17.01,16.104,14.753,10.24,9.434,8.515,9.038,10.18,11.49,12.786,13.731,12.77,14.038,15.168,16.368,17.688,18.481,19.971,20.912,42.703,44.356,16.172,17.362,19.245,15.699,25.184,26.321,27.725,28.693,29.847,31.108,22.207,24.573,25.541,16.988
Netaji Subash Place,18.695,17.813,16.686,15.56,14.37,13.28,11.61,9.27,8.11,7.15,6.31,4.57,3.36,2.23,1.46,0,1.29,2.27,3.08,4.38,5.42,9.885,9.028,7.218,5.992,4.697,3.234,4.611,5.905,6.805,8.045,9.145,10.46,11.64,12.29,13.54,14.78,15.59,16.22,17.58,18.9,20.16,20.98,21.96,23.62,25.39,26.38,28.27,29.615,31.214,32.556,35.281,37.772,38.685,39.984,41.382,42.873,31.403,30.114,28.677,27.579,26.393,25.437,24.278,23.24,22.03,20.191,16.87,16.04,15.13,14.14,13.883,12.823,11.673,10.613,9.683,8.403,7.503,8.05,6.86,5.91,7.06,7.92,8.85,9.89,10.81,12.17,13.16,14.22,15.38,16.72,18.25,19.18,20.07,21.14,22.13,23.22,24.211,25.975,22.258,20.634,19.773,18.715,19.987,20.991,19.955,18.662,14.159,16.918,18.007,19.66,20.549,22.065,22.836,24.142,25.233,26.071,26.84,28.258,29.399,30.564,31.752,33.772,34.952,36.119,38.402,39.426,40.566,42.284,43.618,45.073,46.376,48.139,13.747,12.436,11.235,10.394,9.495,8.814,7.654,6.711,5.708,4.989,3.914,3.556,4.456,6.452,10.858,11.745,13.048,30.71,32.288,32.178,30.373,29.412,28.21,27.049,5.464,1.553,1.123,2.963,4.999,7.553,9.184,11.031,26.761,27.022,26.196,25.285,24.689,25.627,26.518,25.011,22.939,20.68,18.652,15.527,14.03,12.396,15.049,17.127,18.977,20.277,21.521,23.09,24.86,14.815,16.159,17.813,19.166,21.507,24.372,24.16,23.254,21.903,17.39,16.584,15.665,16.188,17.33,18.64,19.936,20.881,19.92,21.188,22.318,23.518,24.838,25.631,27.121,28.062,49.853,51.506,23.322,24.512,26.395,22.849,32.334,33.471,34.875,35.843,36.997,38.258,18.365,20.731,21.699,13.146
Samaypur Badli,23.077,22.195,21.068,19.942,18.752,17.662,15.992,13.652,14.812,15.772,16.195,14.455,13.245,12.115,11.345,9.885,11.175,12.155,12.965,14.265,15.305,0,0.857,2.667,3.893,5.188,6.651,8.028,9.322,10.222,11.462,12.562,14.842,16.022,16.672,17.922,19.162,19.972,20.602,21.962,23.282,24.542,25.362,26.342,28.002,29.772,30.762,32.652,33.997,35.596,36.938,39.663,42.154,43.067,44.366,45.764,47.255,35.785,34.496,33.059,31.961,30.775,29.819,28.66,27.622,26.412,24.573,21.252,20.422,19.512,18.522,19.162,20.222,21.372,20.498,19.568,18.288,17.388,17.935,16.745,15.795,16.945,17.805,18.735,19.775,20.695,22.055,23.045,24.105,25.265,26.605,28.135,29.065,29.955,31.025,32.015,33.105,34.096,35.86,26.64,25.016,24.155,23.097,24.369,25.373,24.337,23.044,18.541,21.3,22.389,24.042,24.931,26.447,27.218,28.524,29.615,30.453,31.222,32.64,33.781,34.946,36.134,38.154,39.334,40.501,42.784,43.808,44.948,46.666,48,49.455,50.758,52.521,23.632,22.321,21.12,20.279,19.38,18.699,17.539,16.596,15.593,14.874,13.799,13.441,14.341,16.337,15.24,16.127,17.43,35.092,36.67,36.56,34.755,33.794,32.592,31.431,8.881,8.332,11.008,12.848,14.884,17.438,19.069,20.916,31.143,31.404,30.578,29.667,29.071,30.009,31.344,32.851,32.824,30.565,28.537,25.412,23.915,22.281,24.934,27.012,28.862,30.162,31.406,32.975,34.745,24.7,26.044,26.951,25.598,25.889,28.754,28.542,27.636,26.285,21.772,20.966,20.047,20.57,21.712,23.022,24.318,25.263,24.302,25.57,26.7,27.9,29.22,30.013,31.503,32.444,54.235,55.888,27.704,28.894,30.777,27.231,36.716,37.853,39.257,40.225,41.379,42.64,28.25,30.616,31.584,23.031
